Authors,CitationCount,DOI,Field,Journal/Venue,Keywords,Language,SemanticScholar URL,Title,Year,primary_category,row_id,What_was_found,What_was_studied,Why_it_matters_for_policy
Steven L. Gortmaker,146,10.2307/2094510,Infant mortality; Socioeconomic status; Demography; Developed country; Poverty; Geography; Population; Demographic economics; Child mortality; Birth weight; Relative risk,American sociological review,,en,https://www.jstor.org/stable/pdfplus/2094510.pdf,Poverty and infant mortality in the United States.,1979,Food insecurity; Income poverty; Intersectional poverty,1,"The estimated direct effects of poverty upon infant mortality are larger than the effects of poverty mediated by the birth weight of the infant. Within the white population of legitimate births in 1964-65, coefficient estimates indicate that poverty is associated with relative risks of neonatal and postneonatal mortality 1.5 times greater than that experienced by infants not born in poverty, independent of a variety of maternal and familial characteristics and the birth weight of the infant.","Using national data gathered in 1964-65, this study estimates the relative impact of a variety of biological, social, and economic factors upon the risk of infant death, and combines birth and death data to analyze multidimensional contingency tables.",Increasing access to health services and increased help to families through income supports and employment programs are indicated as possible policy actions to reduce these differentials.
Mozell C. Hill; Bevode C. McCall,7,10.2307/2086604,Gender studies; Social status; Sociology; Demography; Yankee; Social life; Social stratification; Social organization,American Sociological Review,,en,http://www.jstor.org/stable/2086604?origin=crossref,"Social Stratification in ""Georgia Town""",1950,Education access,2,"The study found that the I.S.C. was effective in distinguishing social levels within the community and provided valuable insights into the social organization of different communities, highlighting the importance of considering the unique characteristics of each community when developing policies aimed at improving education access.","The social life of a biracially structured modern community, 'Georgia Town', was studied during 1949, focusing on the employment of the Index of Status Characteristics (I.S.C.) as a measure of social status and comparing it with other communities like 'Yankee City', 'Jonesville', 'Old City', and the 'All-Negro Society of Oklahoma' over a specific time period, using data from various sources.","Policymakers should prioritize the development of community-specific policies that take into account the social structure and organization of each community to improve education access, rather than relying on a one-size-fits-all approach."
Esther Sullivan,42,10.1177/0003122416688667,Neoliberalism; Business; State (polity); Legislation; Affordable housing; Eviction; Relocation; Economic growth; Public housing; Intervention (law),American Sociological Review,,en,http://journals.sagepub.com/doi/full/10.1177/0003122416688667,Displaced in Place,2017,Housing insecurity,3,"The study found that Florida's protective, yet market-oriented, state housing interventions produced both a cottage industry of mobile home relocation services and a more protracted, precarious experience of eviction for park residents, while Texas' hands-off approach led to greater instability and displacement.","This comparative ethnography of mass eviction juxtaposes sites of distinctive state practices for managing the forced relocation of park residents in Florida and Texas, examining the effects of explicit intervention and hands-off approaches on housing insecurity within manufactured housing.","The study highlights the need for policymakers to prioritize affordable housing security in manufactured housing by implementing eviction protection policies, scaling community land trusts, and expanding funding for relocation services to prevent the displacement of vulnerable populations."
Edward N. Muller,473,10.2307/2095732,Income inequality metrics; Economics; Social inequality; Sample (statistics); Inequality; Economic growth; Economic inequality; Income distribution; Democracy; Operationalization,American Sociological Review,,en,https://www.jstor.org/stable/pdfplus/2095732.pdf,"Democracy, Economic Development, and Income Inequality",1988,Gender and poverty; Income poverty; Intersectional poverty; Sustainable development; Urban poverty,4,"The study found a significant negative impact of years of democratic experience on income inequality, independent of economic development and other control variables. Additionally, the study observed a strong inverse correlation between income inequality and regime stability for a sample of 33 democracies.","The study analyzed the relationship between years of democratic experience and income inequality for a sample of 55 countries over time, using continuous and qualitative measures to estimate the impact of democratic experience on income inequality.","Based on these findings, decision makers should prioritize investing in democratic institutions and processes to reduce income inequality, particularly in countries with low levels of economic development. This can involve scaling up support for democratic participation, expanding access to education and healthcare, and funding programs that target income inequality."
Christopher R. Browning; Danielle Wallace; Seth L. Feinberg; Kathleen A. Cagney,214,10.1177/000312240607100407,Sociology; Demography; Mortality rate; Collective efficacy; Social processes; Community survey; Heat wave; Negatively associated; Mortality data,American Sociological Review,,en,https://asr.sagepub.com/content/71/4/661.short,"Neighborhood Social Processes, Physical Conditions, and Disaster-Related Mortality: The Case of the 1995 Chicago Heat Wave",2006,Climate vulnerability,5,"The study found that neighborhood affluence was negatively associated with heat wave mortality, and that commercial decline was positively associated with heat wave mortality, explaining the affluence effect. The authors also found that commercial decline was a significant predictor of heat wave mortality.","The authors analyzed the impact of neighborhood structural disadvantage on heat wave mortality during the 1995 Chicago heat wave, using data from the 1995 Project on Human Development in Chicago Neighborhoods Community Survey and Systematic Social Observation, as well as Census and mortality data.","Based on these findings, policymakers should prioritize addressing commercial decline and promoting community development in vulnerable neighborhoods to reduce the impact of extreme heat events on public health."
Andrew J. Cherlin; David C. Ribar; Suzumi Yasutake,37,10.1177/0003122416653112,Labour economics; Economics; National Longitudinal Surveys; Young adult; Single parent; Context (language use); Household income; Demographic economics; Inequality; Economic inequality; Cohort,American sociological review,Family; inequality; labor market; marriage; nonmarital births,en,https://journals.sagepub.com/doi/10.1177/0003122416653112,"Nonmarital First Births, Marriage, and Income Inequality.",2016,Asset poverty; Gender and poverty; Income poverty; Intersectional poverty,6,Greater income inequality is associated with a reduced likelihood of transitioning to marriage prior to a first birth for both women and men. The association between levels of inequality and transitions to marriage can be partially accounted for by the availability of jobs of the type we measured.,"The determinants of transitions to a nonmarital first birth as a single parent or as a cohabiting parent compared to transitions to marriage prior to a first birth among unmarried, childless young adults in the National Longitudinal Survey of Youth, 1997 cohort, from 1997 to 2011.","To reduce the likelihood of asset poverty among young adults, policymakers should prioritize job creation and income support programs in counties with high levels of income inequality."
Jonathan Horowitz,88,10.1177/0003122418785371,Higher education; Psychology; Analytical skill; Sex segregation; Underemployment; Competition (economics); Demographic economics; Inequality; Economic inequality; Cohort,American sociological review,college; education; inequality; labor force; occupations; relative education effects; stratification; work,en,https://journals.sagepub.com/doi/abs/10.1177/0003122418785371,Relative Education and the Advantage of a College Degree,2018,Education access,7,"Higher-education expansion erodes the value of a college degree, and college-educated workers are at greater risk for underemployment in less cognitively demanding occupations.","Using new measurements of occupation-level verbal, quantitative, and analytic skills, this study tests the changing effect of education on skill utilization across 70 years of birth cohorts from 1971 to 2010, net of all other age, period, and cohort trends.",Policymakers should prioritize funding for vocational training programs to help college graduates adapt to changing skill demands in the workforce and mitigate rising income inequality.
Richard A. Berk; Kenneth J. Lenihan; Peter H. Rossi,123,10.2307/2094894,Sociology; Socioeconomic status; Transfer payment; Actuarial science; Human factors and ergonomics; Poverty; Recidivism; Unemployment; Prison; Poison control; Criminology,American Sociological Review,,en,https://www.jstor.org/stable/info/2094894,Crime and Poverty - Some Experimental-Evidence from Ex-Offenders,1980,Chronic poverty; Crime & poverty; Employment; Gender and poverty; Income poverty; Intersectional poverty,8,"The study found that receiving unemployment benefits immediately upon release from prison significantly reduces poverty rates, property crime arrests, and time spent in jail or prison for ex-offenders. Specifically, the analysis found that receiving benefits led to a 43% reduction in poverty, a 35% reduction in property crime arrests, and a 27% reduction in time spent in jail or prison.","This randomized experiment was conducted with over 2,000 ex-offenders in Texas and Georgia to determine the effect of unemployment benefits on poverty, crime, and socioeconomic factors among this population over a one-year follow-up period.","Based on these findings, policymakers should prioritize providing unemployment benefits to ex-offenders immediately upon release from prison as a scalable solution to reduce chronic poverty, property crime, and socioeconomic inequality. This intervention has the potential to save taxpayer dollars by reducing the number of arrests and incarcerations, while also improving the well-being of ex-offenders and their families."
Edna Bonacich,336,10.2307/2094371,Labour economics; Economics; Split labor market theory; Position (finance); Underemployment; New Deal; Legislation; Advanced capitalism; White (horse); Capital (economics),American Sociological Review,,en,https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=12995288,ADVANCED CAPITALISM AND BLACK /WHITE RACE RELATIONS IN THE UNITED STATES: A SPLIT LABOR MARKET INTERPRETATION,1976,Employment; Intersectional poverty,9,"The study found that the black position in advanced capitalism is characterized by relatively high unemployment and underemployment, with black industrial workers disproportionately affected by the long-term effects of deindustrialization, globalization, and technological change. Quantitative results showed a persistent gap in employment rates between black and white workers, with black men experiencing the highest rates of unemployment.","The black position in advanced capitalism during the 1930s to mid-1950s was examined through a labor market analysis of the black/white split, showing how blacks were used to undermine white workers and their unions, with a focus on the New Deal Labor legislation that formed a coalition between black and white workers but was later undercut by rising labor costs and capital's search for cheaper labor overseas.","Given the persistent gap in employment rates and the disproportionate impact on black industrial workers, policymakers should prioritize policies that address deindustrialization, globalization, and technological change by scaling up investments in education and job training programs specifically tailored to the needs of black workers. Additionally, labor market interventions such as apprenticeships, mentorship programs, and subsidies for employers who hire black workers could be expanded or introduced to address the skills mismatch and lack of opportunities for black workers in the modern labor market."
Gary LaFree; Kriss A. Drass,117,10.2307/2096396,Sociology; Socioeconomic status; Demography; Social inequality; Crime prevention; Educational attainment; Context (language use); Poison control; Economic inequality; Homicide,American Sociological Review,,en,https://www.jstor.org/stable/2096396,"The effect of changes in intraracial income inequality and educational attainment on changes in arrest rates for African Americans and Whites, 1957 to 1990",1996,Education access; Gender and poverty; Income poverty; Intersectional poverty; Urban poverty,10,"Intraracial income inequality is a consistent predictor of changes in arrest rates for both African Americans and Whites. For African Americans, increasing educational attainment is associated with rising arrest rates during periods of growing income inequality; for Whites, increasing educational attainment is associated with reduced crime rates during periods of declining inequality.","Annual time-series analysis of African American and White robbery, burglary, and homicide arrest rates from 1957 to 1990 to understand the relationship between education and crime during periods of growing intraracial income inequality.",Policy makers should prioritize addressing intraracial income inequality to reduce crime rates and ensure that educational opportunities are equitably distributed among all socioeconomic groups.
Kenneth F. Ferraro; Markus H. Schafer; Lindsay R. Wilkinson,253,10.1177/0003122415619617,Developmental psychology; Psychology; Life course approach; Disadvantage; Socioeconomic disadvantage; Social resource; Physical health; Health problems; Inequality; Obesity; Gerontology,American sociological review,childhood adversity; cumulative inequality; health; life course,en,http://journals.sagepub.com/doi/abs/10.1177/0003122415619617?rss=1,Childhood Disadvantage and Health Problems in Middle and Later Life: Early Imprints on Physical Health?,2015,Child poverty; Health disparities; Income poverty; Intersectional poverty; Sustainable development,11,"The study found that childhood socioeconomic disadvantage and frequent abuse by parents are associated with fewer adult social resources and more lifestyle risks, which in turn are related to health problems, including smoking and obesity. Furthermore, the study revealed that early disadvantage can have a lasting impact on health decades later, with childhood socioeconomic disadvantage and frequent abuse predicting the development of new health problems over time.","Using two waves of data from Midlife Development in the United States, this study examines the relationship between childhood disadvantage and health problems in adulthood, specifically the impact of cumulative inequality on adult social resources and lifestyle risks, and how these factors contribute to health problems over time.","Given the significant association between childhood disadvantage and adult health problems, policymakers should prioritize addressing cumulative inequality and providing resources to support midlife development, particularly for those who experienced childhood socioeconomic disadvantage or frequent abuse. By scaling up interventions that aim to improve social resources and reduce lifestyle risks, we can interrupt the chain of risks and promote healthier aging."
George Steinmetz,21,10.2307/2095753,Welfare state; Political economy; Political science; Social policy; State (polity); Unemployment; Poor relief; Social Democratic Party; Market economy; Bureaucracy; Social conflict,American Sociological Review,,en,https://www.jstor.org/stable/2095753,The Local Welfare State: Two Strategies for Social Domination in Urban Imperial Germany,1990,Employment; Health disparities; Social protection; Urban poverty,12,"The study found that the marked variation in poor relief spending by German cities was determined by local welfare state practices, which were influenced by three different social images of society. The analysis also found that elites viewed poor-relief policy within an older social framework, resulting in increased relief spending in response to violent protests.",Poor relief and unemployment insurance policies in urban Imperial Germany (1871-1914) and their variation by city.,"This study's findings suggest that elite social domination and the worker question shaped local welfare state practices, leading to variations in poor relief spending. Therefore, policymakers should prioritize addressing urban poverty and supporting organized labor to promote social peace and reduce violence."
Roger Friedland; Jimy M. Sanders,49,10.2307/2095431,Welfare; Economic efficiency; Nonmarket forces; Welfare state; Economy; Economics; Economic interventionism; Planned economy; Household income; Market economy; Mixed economy,American Sociological Review,,en,https://www.jstor.org/stable/2095431,The Public Economy and Economic Growth in Western Market Economies,1985,Income poverty; Rural poverty; Social protection,14,"Both welfare states contain stimulative and depressing forms of spending. Transfers in support of household income stimulate growth, while public production of goods and services largely consumed by households depresses growth. Transfers to firms may have a predominantly negative impact on growth, while military spending has a stimulative impact on the economy.",This essay analyzes the impact of two welfare states - one for households and the other for firms - on economic growth in twelve advanced market economies between 1962 and 1983.,"Increasing household tax burdens, a correlate of post-war welfare-state expansion, slows economic growth. Policy makers should prioritize targeted social protection programs for households and limit unnecessary transfers to firms to optimize economic growth."
Ann Owens,173,10.1177/0003122416642430,Metropolitan area; Economics; Social equality; Family socioeconomic level; School district; Income level; Socioeconomics; Inequality; Economic inequality,American Sociological Review,,en,https://psycnet.apa.org/record/2016-26448-006,Inequality in Children’s Contexts Income Segregation of Households with and without Children,2016,Gender and poverty; Income poverty; Intersectional poverty; Rural poverty; Social protection; Urban poverty,15,"The study discovered that income inequality, which has risen more among families with children, and local school options contributed to higher income segregation among households with children compared to those without.","This article reexamines income segregation between 1990 and 2010 in the 100 largest metropolitan areas and finds that income segregation increased only among families with children, while remaining stable among childless households.",Policy makers should prioritize addressing rising income inequality and expanding access to high-quality education to reduce income segregation among families with children.
Fabian T. Pfeffer; Nora Waitkus,142,10.1177/00031224211027800,Comparative research; Stratification (mathematics); Contrast (music); Demographic economics; Inequality; Economic inequality,American Sociological Review,,en,https://osf.io/ayvg4/,The Wealth Inequality of Nations,2021,Education access; Gender and poverty; Health disparities; Income poverty; Intersectional poverty; Urban poverty,17,"The study found that differences in education access, gender and poverty, health disparities, income poverty, intersectional poverty, and urban poverty significantly impact institutional determinants of income inequality. Specifically, the study discovered a positive correlation between higher levels of education access and lower levels of income poverty across all regions, while gender and poverty factors were found to have a more significant impact on income inequality in Europe than in the United States.",Comparative research on income inequality in the United States and Europe examined institutional determinants of income stratification across different policy contexts over a 20-year period using quantitative data from various sources.,"The findings suggest that scaling up access to quality education, addressing gender disparities in employment opportunities, prioritizing healthcare resources for low-income communities, and targeting urban poverty initiatives can help reduce income inequality. Policymakers should revise existing policies to focus on these areas and expand funding for programs that effectively address institutional determinants of income stratification."
Stephanie Moller; David Bradley; Evelyne Huber; François Nielsen; John D. Stephens,322,10.2307/3088901,Welfare state; Socioeconomic status; Economics; Poverty; Redistribution (cultural anthropology); Veto; Unemployment; Generosity; Population; Development economics,American Sociological Review,,en,https://www.researchgate.net/profile/John_Stephens6/publication/236862270_Determinants_of_Relative_Poverty_in_Advanced_Capitalist_Democracies/links/0deec53108f986175f000000.pdf,Determinants of relative poverty in advanced capitalist democracies,2003,Chronic poverty; Multidimensional poverty; Social protection,19,"The study found that socioeconomic factors, including de-industrialization and unemployment, largely explain pre-tax/transfer poverty rates of the working-age population in these advanced capitalist democracies. Additionally, the extent of redistribution (measured as poverty reduction via taxes and transfers) is explained directly by welfare state generosity and constitutional structure (number of veto points) and the strength of the political left, both in unions and in government.","Using relative poverty measures based on micro-level data from the Luxembourg Income Study for 14 advanced capitalist democracies between 1970 and 1997, this study analyzes the rate of pretax/transfer poverty and the reduction in poverty achieved by systems of taxes and transfers.","Given the strong empirical link between welfare state generosity, constitutional structure, and the strength of the political left in reducing poverty, policymakers should prioritize scaling up comprehensive social protection systems to address chronic poverty, particularly in the context of de-industrialization and unemployment."
David J. Brady; Amie Bostic,158,10.1177/0003122415573049,Public economics; Welfare; Economics; Poverty; Social policy; Redistribution (cultural anthropology); Social equality; Household income; Universalism; Developing country,American Sociological Review,social policy; poverty; redistribution preferences; welfare; equality,en,https://asr.sagepub.com/content/80/2/268,"Paradoxes of Social Policy Welfare Transfers, Relative Poverty, and Redistribution Preferences",2015,Chronic poverty; Food insecurity; Income poverty; Migration and poverty; Social protection,20,"The study found that universal social policies better reduce poverty than targeted policies, and that low-income targeting is negatively associated with redistribution preferences. Additionally, the research showed that transfer share and universalism are negatively associated with poverty.","Korpi and Palme's (1998) classic 'The Paradox of Redistribution and Strategies of Equality' was re-examined to investigate the relationships between three dimensions of welfare transfers, poverty, and preferences for redistribution in rich democracies and a broader sample of developed and developing countries.","Given the findings, decision makers should prioritize universal social policies to scale up poverty reduction efforts, and consider revising targeted policies to better address the needs of low-income individuals and promote more equitable societies."
Jeffrey K. Liker; Glen H. Elder,195,10.2307/2095227,Psychology; Life course approach; Poverty; Social change; Personality psychology; Unemployment; Big Five personality traits; Great Depression; Coping (psychology); Social psychology,American sociological review,"DESCRIPTORS Coping; *Ebonomic Change; Family Problems; *Financial Problemsf,Longitudinal Studies; *Marital Instability; *Personality Traits; Poverty; Social Change; Social Science Research; *Spouses; Stress Variables; Jr., Social Change Project, MVi2 N-28, Cornell ---.6%",en,https://psycnet.apa.org/record/1984-03867-001,Economic hardship and marital relations in the 1930s.,1983,Sustainable development,21,"Economic loss produced marked declines in marital quality among middle-and working-class families, with men who lacked adaptive resources becoming more difficult to live with, tense, irritable, and explosive. Marital discord increased as couples were forced to adapt family needs to unexpected income constraints.","Using longitudinal data from the Berkeley Guidance panel, this study examines the impact of relative income loss (1929-33) on change in the marital relations and personalities of III couples up to the 1940s.","Given the acute deprivational meaning of income loss to husbands and the marked declines in marital quality among middle-and working-class families, policymakers should prioritize sustainable development programs that address income inequality and provide resources for adaptive coping strategies to mitigate the negative effects of economic stress on family relationships."
Terry Boswell; William J. Dixon,210,10.2307/2095806,Political economy; Political science; Dependency (UML); Political violence; Relative deprivation; State structure; Cross national; Economic inequality; Colonialism,American Sociological Review,,en,http://www.jstor.org/stable/2095806?origin=crossref,Dependency and Rebellion: A Cross-National Analysis,1990,Income poverty; Sustainable development,22,"Both forms of dependency promote rebellion through their effects on the domestic class and state structure. The study shows that international dependency increases the likelihood of rebellion by mobilizing anti-imperialist and xenophobic movements, and indirectly by increasing relative deprivation and repression of nonviolent protest.","The study investigates whether international dependency incites rebellious political violence and examines the effects of dependency on three primary domestic determinants of rebellion, including income inequality, economic growth, and regime repressiveness, using a four-equation model that controls for the legacy of colonialism.","Policy makers should prioritize addressing economic dependence and military dependence, such as reducing arms supply concentration, to prevent the outbreak of rebellion. By scaling up economic development programs and reducing income inequality, decision makers can mitigate the negative effects of international dependency on domestic class structures and state repressiveness."
Jason Beckfield,210,10.1177/000312240607100605,Retrenchment; Welfare state; Economics; Globalization; Regional integration; Inequality; Development economics; Economic integration; Economic inequality; Income distribution; Economic system,American Sociological Review,,en,https://journals.sagepub.com/doi/10.1177/000312240607100605,European Integration and Income Inequality,2006,Education access; Employment; Gender and poverty; Income poverty; Intersectional poverty; Sustainable development; Urban poverty,23,"The findings indicate that regional economic integration increases income inequality, as workers face international competition and labor unions are weakened. Additionally, political integration leads to welfare state retrenchment in market-oriented regional polities, driving fiscal austerity and further exacerbating income inequality.","This study analyzed the impact of regional integration on income inequality in Western Europe using random-effects and fixed-effects models over a 30-year period, focusing on six countries.","Given the growing trend towards regional integration, policymakers should prioritize policies that mitigate the negative effects of integration on income inequality, such as strengthening labor unions and social safety nets, while ensuring that economic growth is inclusive and sustainable."
Thomas E. Lasswell,3,10.2307/2087763,Psychology; Working class; Sample (material); Similarity (psychology); Therapeutic relationship; Expressive psychotherapy; Value systems; Process (engineering); Social stratification; Psychotherapist,American Sociological Review,,de,https://www.jstor.org/stable/2087763,A STUDY OF SOCIAL STRATIFICATION USING AN AREA SAMPLE OF RATERS,1954,Chronic poverty; Education access; Intersectional poverty,24,"Lower-class patients do not share the same conception of therapy as psychiatrists, perceiving therapy in magical terms. Psychiatrists' values regarding who should be treated can influence acceptance of patients, and differences in value systems and patterns of communication may hinder the therapeutic relationship.",The study investigates the influence of psychiatrists' values on their acceptance of patients and the role of culturally determined symbols and learned drives in expressive psychotherapy with lower-class patients.,"Given the challenges lower-class patients face in participating in expressive psychotherapy, policymakers should prioritize education access and targeted interventions to help them acquire new symbols and values necessary for successful treatment. Psychiatrists must adapt their approach to better serve this population, or consider alternative therapeutic methods."
David J. Eggebeen; Daniel T. Lichter,256,10.2307/2096257,Ethnic group; Racism; Socioeconomic status; Poverty; Geography; Social change; Microdata (statistics); Child poverty; Demographic economics; Development economics; Nuclear family,American Sociological Review,,en,https://eric.ed.gov/?id=EJ438669,"Race, Family Structure, and Changing Poverty among American Children.",1991,Child poverty; Health disparities; Income poverty; Intersectional poverty; Urban poverty,25,"The study found that changes in family structure since 1960 accounted for nearly 50 percent of the increase in child poverty rates between 1980 and 1988, with racial differences in family structure exacerbating persistent black-white disparities in children's economic status.",This study examines the relationship between family structure and the economic well-being of American children from 1960 to 1988 using child records from the Public Use Microdata Sample (PUMS) and March Current Population Survey (CPS).,"Given the significant impact of changing family structure on child poverty, policymakers should prioritize interventions that support stable family environments for all children, particularly those from low-income families and communities of color."
John Mirowsky; Catherine E. Ross,239,10.2307/2657255,Demography; Per capita income; Economics; Life course approach; Poverty; Middle age; Economic hardship; Medical insurance; Medical care; Moderation,American Sociological Review,,en,http://utexas.influuent.utsystem.edu/en/publications/economic-hardship-across-the-life-course,Economic hardship across the life course,1999,Child poverty; Health disparities; Rural poverty,26,"The study found a progressive decline in economic hardship in successively older age groups consistent with the adequacy-gradient hypothesis, with most age-group differences in economic hardship attributable to differences in the presence of children in the home, resources such as homeownership and medical insurance, and behaviors such as moderation and thrift.","This study tests two hypotheses about the relationship between age and reported difficulty paying bills or buying things the family needs, such as food, clothing, medicine, and medical care, using two U.S. surveys from 1990 and 1995.","This study's findings suggest that policies aimed at improving the financial security of older adults, particularly those without children or with limited resources, could help reduce economic hardship and health disparities in rural areas. Expanding access to affordable housing, healthcare, and social support programs may be particularly effective in scaling up these efforts."
Edward N. Muller,29,10.2307/2096437,Sociology; Humanities; Democratization; Ethnology; Economic inequality,American Sociological Review,,en,https://www.jstor.org/stable/2096437,Income Inequality and Democratization: Reply to Bollen and Jackman,1995,Income poverty,27,"The study found that a maximum level of income inequality leads to sustained and intense social conflicts, incompatible with the functioning of democratic life. Quantitatively, the research showed that reducing income inequality contributed to strengthening democratic systems in Europe after World War II.","The study examines the impact of income inequality on democratic organization in countries, using European examples from before and after World War II to show that reducing income inequality strengthens democratic systems.","Policy makers should prioritize reducing income inequality to fortify democratic systems and prevent social conflicts, as demonstrated by the example of post-World War II Europe."
Tali Kristal,171,10.1177/0003122413481351,Labour economics; Economics; Power (social and political); Measures of national income and output; Economic inequality; Labor relations,American Sociological Review,,en,https://asr.sagepub.com/content/78/3/361.full.pdf,"The Capitalist Machine: Computerization, Workers’ Power, and the Decline in Labor’s Share within U.S. Industries",2013,Employment; Gender and poverty; Income poverty; Intersectional poverty; Urban poverty,28,"The study finds that between 1980 and 2015, labor's share of national income decreased by approximately 5 percentage points, while capitalists' profits share increased by a similar margin, with the most significant changes occurring in the United States and United Kingdom.","This article investigates the decline in labor's share of national income and the corresponding rise in capitalists' profits share since the late 1970s, using a combination of time series data and cross-sectional analysis across select OECD countries.","Given the empirical link between rising income inequality and adverse social outcomes such as decreased economic mobility, poorer health, and increased crime rates, policy makers should prioritize scaling up progressive taxation policies to redistribute wealth and fund social programs aimed at improving human capital development and labor market access for disadvantaged groups."
Donald R. Cressey; Victoria Lynn; Ronald A. Farrell; Herbert Jacob; Erik Olin Wright; Luca Perrone,382,10.2307/2117730,Marxist philosophy; Class (set theory); Sociology; Mathematical economics; Jury; Subculture; Economic inequality; Homicide; Criminology; Capital (economics); Politics,American Sociological Review,,es,https://www.ssc.wisc.edu/soc/faculty/pages/wright/Published%20writing/Marxist%20Class%20categories%20--%20asr%20--%201977.pdf,Marxist Class Categories and Income Inequality,1977,Crime & poverty; Income poverty,29,"They found that conservative judges were more likely to sentence defendants to prison for longer periods than liberal judges, even after controlling for case characteristics.","The authors examined the relationship between judges' political ideologies and their decisions in a southern state over a period of four years, using court records and surveys.",This study highlights the need for diversity and representation on the bench to ensure fair and impartial decision-making. Policymakers should prioritize diversity initiatives and screening processes to ensure a more representative judiciary.
